data,ingested_at,payload_uuid,processing_history,score,sink_uuid
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773298098.131482,c365a102-3903-468f-b943-7a4c3eb0ea1a,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773298100.1340406,0c13e3f8-c9ff-4da4-ba0e-7ed8810550e3,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773298102.1366417,2915126c-feca-4146-a420-0dbff5cfb791,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773298104.1574204,4c90bf96-fe9a-4120-9f06-6bfb11108e75,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773298106.1590295,4cde0b0f-6f5e-4c2f-b861-491ccfd2fd7e,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773298108.1725154,cbcc0177-43f3-4140-9b09-124400f8aaae,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773298110.171972,f408677d-1051-479d-bfbc-ce597ec7b084,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773298112.1917608,e518a564-d55e-4fbc-996c-c17f4c4aeeea,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773298114.1976779,cc351d72-7746-45f5-9155-3110503d51a4,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773298116.204121,1379edcc-109f-4ef1-a87e-f5e44faccf9d,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
