data,ingested_at,payload_uuid,processing_history,score,sink_uuid
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773266009.5406566,c002f8c1-2d9e-416a-a1ca-2faa191546b3,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773266011.5520573,938d904f-93b7-4d65-8212-99917771a60f,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773266013.5578337,a6ae0f44-e9cb-4b78-821c-547a90cb542b,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773266015.5761082,8429e0c5-0c95-4dea-a1bb-ae519107bb1c,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773266017.5793402,d109250f-2bad-47ea-b509-00f5fb368424,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773266019.584343,41f453ca-a3f8-44ef-8e58-af427d6ef9d6,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773266021.5943933,03cbc128-7168-4956-b745-b48883945363,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773266023.6172843,b560fde9-06a2-4e8b-8121-c1807550628a,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773266025.6009645,e8662caa-33d0-4ec0-a5e0-d2e9f8f3b77f,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773266027.609063,4ffe05a9-6663-43db-b569-b8bbaeaed084,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
