data,ingested_at,payload_uuid,processing_history,score,sink_uuid
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773298118.205448,59372b86-8982-41eb-9484-dcea9bfca88c,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773298120.2180803,d4e0c5a8-cf75-4584-bd6d-760e460ce982,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773298122.2209997,f105413e-8e5b-4581-819a-81e00592cba7,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773298124.234964,cb1d5f45-cfb7-47de-8a8c-a2781fa6ef4f,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773298126.240132,a58f343e-e088-41ad-abc7-66783b7db55f,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773298128.233936,10cb03e8-214f-43d1-bd2f-7f7fe704b46b,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773298130.2580616,3f9f1c6f-ab01-4da5-8493-9743510f0f04,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773298132.261775,e040379c-d4ad-45f6-bcf5-77c7ab9bcd78,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773298134.261633,002486b4-f8a9-461d-aa98-d09f8262483e,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773298136.2697985,3826ba80-9578-4aa1-b14c-a021d4307661,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
