data,ingested_at,payload_uuid,processing_history,score,sink_uuid
{},1773265989.0038946,0297179c-7bc9-4321-b8df-aafebfaf82ef,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773265991.4816864,21f93125-6e65-49c6-adc7-ccc774207ba5,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773265993.4904256,79f79df6-26f3-490a-a5c5-d515ff93dca9,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773265995.4930613,54215051-4ae2-4c1d-9a91-cb56f53c5c80,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773265997.5076432,cc29c9d5-9666-491b-9f69-919bc02ff004,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773265999.5139973,c14ed856-3a4e-4f80-b35c-ae48f1844d4c,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""2"", ""status"": ""FAILURE"", ""user"": ""bob""}",1773266001.522228,d9f1c65c-83de-44d1-9d82-52f7d5d954dd,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""3"", ""status"": ""SUCCESS"", ""user"": ""charlie""}",1773266003.5199304,dfe6d17a-35a2-4139-8b52-4186ceba3bad,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""4"", ""status"": ""SUCCESS"", ""user"": ""ADMIN""}",1773266005.5257196,d1129d56-491e-47d9-bc7e-ec523a19e2b3,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
"{""number"": ""1"", ""status"": ""SUCCESS"", ""user"": ""alice""}",1773266007.536323,c2efe5c1-6a26-4c99-85ad-a3606c8c7a34,"[[""dd0c1d9b-358d-4fa3-b6f9-43c2159e1d99"", -20], [""b2fd33a1-2815-43de-b9f6-3b0020bed4e0"", -20]]",60.0,0208b6d8-d899-4741-b06b-051d97c1786e
